,title,location,company,summary,salary,url
170,"Patient Relationship Executive at Aims Healthcare, Dubai",Dubai,Aims Healthcare LLC,"Customer centric and service oriented with minimum 2 years healthcare experience in customer care, Customer service or front office.","AED2,000 - AED4,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AYnSiOySX41EcwOmQYJl3y-tfMmK8ojmVBNkVpGKyx3VTh3CXp6iz4FBp_ZKCWaxx5qIsp5SLs0SSxkXyqiw6acmzd9-JUSmofDZwqBtpc_PK90sarR-xBWcGn3_YYbarbiQkqo-UanBH7lDVrfHgGPH1PSXYn9ZbV1OYSzBetC4rK1EZ2yWpApGvfTbXSPUvIJjkGluS9x-Xg7dFxAICxyWzCOlWHhvIobZ2e2W0aQqLpnQ1Q4ZJUAYbb7_DWTU_8e5H2jtMrUo3R6TM0-0KBOQx2qvdaY0DHSZ_-WTvWNO4xWB0vbzvtEcdbkyENqSP7rXARsCHCeU_gFty64tS9d8PuEAM9bM14yW9qj7V14OPMNDQMSRlS2XCfybLySm8kBglWFPL4u2gMixMQqBN3nWoukujKWjCqlWSlcYB0BMqTkHW0cyjE_t1OQZkufoOBqQ6TXRSKtEgJ3FrwglSodePXKaMTySg=&p=14&fvj=1&vjs=3
171,General Practitioner,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1jn9TWs52YXmQf-fYYkDbRxnZ-lagDTk3jchppXgeEBW9krHbqVxiWSQitMHwZheynTDuqLDuKf98boGendI1Tqr0RCpWdlsOIKTYIZ2YfbVIXpTuXPxFZyxiGYErEbi-u0pLbNMLikh7sEA7N1NV2tUnFbQ7kOp1WjnaljpMTTGhrACFCCY2FMVQFBFawHhAZT9FTkz4JmRv77fWiFuSO_oUu6OdlSVRA6kl9eknjNKLvW4k-eZ4O_kNRCnRiT41OWEGM1mIvgQRjV48Nr73OvVSZeofY7Xjg2Ow8aDV7AgVDteXwLWN373pkCOXyPfip9eCtDRocrKa6oDUH9b4N8Ordd3N7DP0uSEK2j1Aouibhb8N70KYixle83r_L7rPw-N7IJN8ogXQ=&p=15&fvj=1&vjs=3
172,plastic surgeon,Dubai,al sohool orthodontic and dental center,"Are healthcare professionals who modify, improve, and reconstruct parts of the human body.They work with patients who have birth defects, as well as those…","AED10,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5FjaWC1_44fXB12ZX5lERrPBNowmPhbhmdDxnHwSPQRjU_ZvUiVCv-alcagy1JKOjCrSi42JHFsqUUh-fiB21-mcbeaHQbFsQujrRPk6q9IgttY_vWE67Ncu_jlFIktTMyXJEIPor76R98KVqiKZOEJLL1r14_BwwbNxpLwUckayI8WqB1_KiMxYu7oycNISXuqwGcEp6gchp0xUWjlRd7ytSI_1cJg3MIfu3yPUpyAFt97PVqumgNvRLsylkq4_gS17uqhK27PlGSNsY4iPEmpJG0OUQW8CpKcmDRi-E8sDZXwmR8qy1qYe0cLN6mzjgfuQettWD9vUL_H1AKxy3yNdBQt3rZ8y1BUlS3ErHY3fBxGQSDv8rWHel7Dj-wvolO1YPqFwlL-UwQ_Wud-hGrXDzWesYNCYlzPC1WJz_VgbbdufBbl-b&p=16&fvj=1&vjs=3
173,Senior Operations Officer (UAE Nationals Only with Family Bo...,Abu Dhabi,MDC Business Management Services,"\*Preferred - Healthcare and others (airline, hospitality), industry or sector within UAE only.Reporting to the Operations Manager, the Senior Operations…","AED30,000 - AED35,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXjjAlOCbQxIMFcoVa-id-9VsDv4se0BFeHHAzdcsaRj6vCn3qpHJvMvMgnTPb8MC3NxyjTZvS2QQoCTgnrXQI111bMH273qTwVXarTNAEyee3ng1njbbnpBEKZFMyeYgH5Vr_SlaDW8yGqEwE5fjPabbWkQ5skD0qEdPFKds5knIq2VeLGEsHfWvqDPtChJm6nJE4b9QEtIHvgbA--MZcGTaB7b_0klraHVTh-EByR9aWrcrxoU5a9eDnGNmYPuy1q9z5vk-qHRa1Z7HeMOIEMP3g9S-HxRKV3_UkK2C6DKFTvPiFngLX3470UW2rxuBQ7I39EBj1HW4Lx4aVdcU2WZ7jpMEWDwZKcyd88IXV656oWjyVlo1wZl2DXq1DKcgPxf-jMNSlQdhGuilBlEiLv5CnxxzQcIJEwusbIf0n2NmRRVlpFGX10fBgsEX8HZuLY5JXoxEZkMXduL4l0qbqiKrNuRhZrgw00h3KGVmj6eSPxr6BH3AL&p=17&fvj=1&vjs=3
174,Western Pediatric Oncologist,Dubai,Allocation Assist Dubai,Leading a treatment team of other physicians and healthcare workers.We currently have a vacancy for a Western Pediatric Oncologist with one of our hospitals in…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-UuX9_p0ntRvRhtvtwMyGb5wnngVmu-Ci8ZfphnzOV636k66aDGlyskaX-zE5r2hOp-sxOUTHQaulvAzA9WPlTqKdoyrB3xzuq36B7yqdtdEnODbRGGua5rT30fCI2DFsLTvHn7ACwvHbraOj8PS7jtGLHXZhxmy3yC3s9hgmAjccTykUJ5WAkH1eB5GhsOJLX8YCbqUZ_PV3r6uolYT8aTly-1dmcmCp32sr1Ld-DNvCp05absYbD5saUYgSaYr-r6oBY7X4mYdqkEr4voiAbAwyJbtITU8iQHqFG-4AyrTYp_pWuaDS5jdiXwOP1itbumWu6bxeQjswviGJU7CUsY6ywuybI7mDzVG_xTy2e8g4CdkXQki2_4sN9S-t2s7cNadnuq5rv7drVqXov9w9DF6DmMR7rgQ6aEG2PuJkx4YD-Z2sy_iOdRM4SvZzPU0Oz6mmohaolQ==&p=0&fvj=1&vjs=3
175,Specialist Dermatologist,Dubai,Fattan Dental & Derma Clinic,"We are looking for an experienced and passionate Dermatologist to join our healthcare team!As a Dermatologist at our clinic, you will be responsible for…",,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CN_PW9fZd2Bqzk4KKx0hvYiJK6wuGJDlkpAWqRsVrv5gu3FIpn57FN_e0mqW8Sm0jFG_C5upQ9WXyIAuTz7h0A3Oa5qDlS_3ts6A52zMj9UB0ZuVN5Kwrmcr6XijyF-TP5lvyWE5ptxX_gZtdYU4f_M6LEB0R1MpHJodSj02wmJWGStooQKEAHS06PCASaj-H6rh6CfpYTEYS9Lzw8LUf4L5RMCt8VXr-KN-dzW4wvyJ62yrviDbhJPnpnFQIAZXQ8tPe-ccx9VpwrM25PLvz0mn_DNBKjaQ2W_RYg9GJLn4E9DaQaIv135DkmD0XlVEpsS6zGuv9O0Xl5Bu8V4HlWOjz7jde9vxoBqcz2zLp9iuk2C_6js5NgBdy2MhAN2s9hyIYJrIuig9HIFU6VAdxazYNqUqR---bARuGWFZO6Wy9ssbF3QCKbLU8oiOoLOMuq4clfW29cB89mPePHOLmb&p=1&fvj=1&vjs=3
176,Registered Nurse,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1j0fP6nr8cYiyX3IGan2wZbttR0MOh3lm6AgcbYQoOjqpE9G_MfYJF92M0QMboQJ0lu9o0CPTp_RuPYmnv-fCUbWSKcSXYMrmLMiFgd94K6A4FPuYdXJQOm9IaO6SavP9Ocb8vmj4iefBkArHoUPxpkV3MBqm2o82W0OqQ7gXkzvYjboWxFgUMMiW6zFvRkCSotY0TqjNxmq4B4WvOMZF-U15yKNRFJVotyZe43fhmHX01046TQLCpY1uqCkB5RDuA2zM_B2LoSV9ak5Q4NgtUqkHebWZWY_BpVY7MFoqoHl_DM_8L8yTW3B-ZakNxp_w8qrZqt_kmrXr7P3GjilV4oJBdSnuuGP5CVusivhw3PxUPkJGetG-f55cZsYgHb3uxXUk_lTkdS4Y=&p=2&fvj=1&vjs=3
177,FEMALE Physiotherapist PT,Abu Dhabi,Private healthcare facility,"Willing to work 48 hours per week.Able to join by April or May 2021.With Driver's license or willing to take the driving license.Up to AED8,500.00 per month.","AED8,500 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVfliTICGuZN_p9ROzTwDIhmm_OaZ7Z3Ke_m-gwQ3s3y0IW14r2rOSwgj4Pf7zqWcwQGeEak9T9tlK8A9lnl9m5kMXM6atPWG_XjZQIOS1LXiZke69ENLnxzlumCmJywUA0SbW7JUUf0S-eeSn6_JmAmdTQb-0YVULrf-cM4D5oNusJmVQyK_-FPtfNUFmD63jdybnrwv3aOCZrcnkDqqaE51iHRButowUKcSOhm7Hlp2wwScsBtDaPV2-_OFANrTLjwpWhbI8ozqMrrCaGoZtiOJdwME1sUgoydKR6OdKKet5-IuMMrJFbDhf7tx9UF8fmrgPwVeyuMBZRWgll-WlP-KFTfp2oUgIIubxZfTZD1Ig1rzRLECUao7W0L9EQf5A4MxUVp31C-KgKeLuBkK9sRBFVYX_JB2jYG60F-9kxIKaDaoiRS2qtb-wnUZFhPA4wOYjcK6dg==&p=3&fvj=1&vjs=3
178,Specialist Dermatologist,Abu Dhabi,VLCC international UAE Slimming and Beauty,Dermatologist is overall responsible for all financial success metrics for the Dermat services by delivering service excellence alongside great customer…,"AED50,000 - AED65,000 a month",https://uae.indeed.com/company/VLCC-international-UAE-Slimming-and-Beauty/jobs/Specialist-Dermatologist-a2c0b0d4f4397b69?fccid=44b3870be5e69d39&vjs=3
181,Erfahrener Berater Digital Operations and Performance (m/w/d...,Abu Dhabi,DETECON,"Automotive, Energie, Finanz- & Versicherungsbranche, Handel, Manufacturing, Healthcare, Telekommunikation, Travel & Transport.",,https://uae.indeed.com/rc/clk?jk=d0ffbf722012afc5&fccid=ef962cb30346f141&vjs=3
182,Collections Officer,Dubai,Dubai Investments,"The Company has grown exponentially with investments in a number of businesses across sectors - real estate, manufacturing & industrial, healthcare, education…",,https://uae.indeed.com/rc/clk?jk=e955374f548cfd6b&fccid=159192311038adf9&vjs=3
183,Accounts Officer with Healthcare experience,Dubai,RALS HEALTHCARE,1-5 Years in UAE in Healthcare Industry.Advanced MS Excel skills including Vlookups and pivot tables.Experience with general ledger functions.,,https://uae.indeed.com/company/Rals-Healthcare/jobs/Account-Officer-Healthcare-Experience-0084e2ac0e3b4cac?fccid=380464c69c0e91b6&vjs=3
184,MOH General Practitioner,Sharjah,HealthCare Center,Opportunity for MOH General Practitioner.Personal protective equipment provided or required.Plastic shield at work stations.,"AED12,000 - AED15,000 a month",https://uae.indeed.com/company/HealthCare-Center/jobs/Moh-General-Practitioner-22b1216c24b692ed?fccid=9998f8f27253e395&vjs=3
185,Facility Manager,Abu Dhabi,Delma Medical Center,"Participate in healthcare quality program and be member of quality committees if chosen.We endeavor to provide our services in a friendly, efficient and…",,https://uae.indeed.com/rc/clk?jk=fc4a08808ef6a2bd&fccid=d8add636e42b956a&vjs=3
187,"Deals, Strategy - Healthcare - Manager",Dubai,PwC,"Our Healthcare Strategy team offers strategic advice to a broad range of stakeholders - healthcare operators, pharmaceuticals and life sciences organizations,…",,https://uae.indeed.com/rc/clk?jk=bc674df14a551534&fccid=5e964c4afc56b180&vjs=3
188,"Patient Relationship Executive at Aims Healthcare, Dubai",Dubai,Aims Healthcare LLC,"Customer centric and service oriented with minimum 2 years healthcare experience in customer care, Customer service or front office.","AED2,000 - AED4,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AYnSiOySX41EcwOmQYJl3y-tfMmK8ojmVBNkVpGKyx3VTh3CXp6iz4FBp_ZKCWaxx5qIsp5SLs0SSxkXyqiw6acmzd9-JUSmofDZwqBtpc_PK90sarR-xBWcGn3_YYbarbiQkqo-UanBH7lDVrfHgGPH1PSXYn9ZbV1OYSzBetC4rK1EZ2yWpAEKFqjAhy6C_H3sqLiNcYPF8wiSBldXgQZABFC8kZYw7RI23dx5QvOZXfRhA1TVj9MqEoUyWKwait_FPEy9bLjMr4mhrdtcxuVSkeWe-P03SOUXWMTDQLoF4pdiVlYd1KCwajbE-GeiZjeoz6PAUVaEOJ4F9YQSBYN1v9NquAaYcBixRRUxNvip9RxTT2FEFBwHOk-lPgms6ituED_DNwTweVNXLrfbXZC9AlJfBdjX6H3JO159JSV8Ui_95B6OEqSIYJGGPdSXje-RLxkNN64l0f8_Inb6w_iS4vN0LBkRk=&p=14&fvj=1&vjs=3
189,General Practitioner,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1jn9TWs52YXmQf-fYYkDbRxnZ-lagDTk3jchppXgeEBW9krHbqVxiWSQitMHwZheynTDuqLDuKf98boGendI1Tqr0RCpWdlsOIKTYIZ2YfbVIXpTuXPxFZyxiGYErEbi-uNpJxKealmz3WkRZ6vR3Gbx2ApRpQNNRAWkYZP6qPBM52UzzuSOEF9YHpTpzij6W1V2-B9rGt13h5pti71ywP2WN61moIq1iJdIYjIgFVf06O25KnmzYZt6gpeWsVm8a4yJjlGcQiGKUbBMsLeyXtqgY9cGe3YarzMkv-679Kg0zbNWWnZ6Q-sMIWjs9Ci7WTF1SaSsG3aMnEJDVW943fpBFO-GKNC6dOUxq5VzbyJ0li6ea9-DaSEyKL-Yz3X5b2zWlk7Hu5d2c=&p=15&fvj=1&vjs=3
190,plastic surgeon,Dubai,al sohool orthodontic and dental center,"Are healthcare professionals who modify, improve, and reconstruct parts of the human body.They work with patients who have birth defects, as well as those…","AED10,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5FjaWC1_44fXB12ZX5lERrPBNowmPhbhmdDxnHwSPQRjU_ZvUiVCv-alcagy1JKOjCrSi42JHFsqUUh-fiB21-mcbeaHQbFsQujrRPk6q9IgttY_vWE67Ncu_jlFIktTMyXJEIPor76R98KVqiKZOEJLL1r14_BwwbNxpLwUckayI8WqB1_KiRalfWIxjtl279bzxXpjL6Sxb3wfnOZsNihR2GOxX4UiJNrrFZrM2MJhE-vHeIq9eXUzRa5FInvlj32eTFITHspJ7QdHkulxZkl70hIl6lEMDnqrhVLPRxDYqro8l5FqpdMk0RwhnF45zWVa60S0tMpth99k9I49IE8h8yE2G3pVsi_A56oeOz_sLY50DJyjuP3wHSFI1iNzSHXPizkbLjUBfpSRZDL-Y2V4rbssoK5sEgb6hkkXuzQJGPPvTJBUK&p=16&fvj=1&vjs=3
191,Senior Operations Officer (UAE Nationals Only with Family Bo...,Abu Dhabi,MDC Business Management Services,"\*Preferred - Healthcare and others (airline, hospitality), industry or sector within UAE only.Reporting to the Operations Manager, the Senior Operations…","AED30,000 - AED35,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXjjAlOCbQxIMFcoVa-id-9VsDv4se0BFeHHAzdcsaRj6vCn3qpHJvMvMgnTPb8MC3NxyjTZvS2QQoCTgnrXQI111bMH273qTwVXarTNAEyee3ng1njbbnpBEKZFMyeYgH5Vr_SlaDW8yGqEwE5fjPabbWkQ5skD0qEdPFKds5knIq2VeLGEsHwmJJwxcntI7y7qVyIHTsdmmFz57gXyiYvoRhSXUnVQvILK97MTZeFpyoRk7GYO43RsckDPSB0azHQ2x4dPRFXJxwdKyjKUtk9YmggYDCpZYXQIxOQkBZhBMlpFQPXPxlva7t6UaaaxcmxIAJk9uTCzNn-U-Ib3wWFCbD55eWcNmNrJvo9UDiBsBZKe8ANkenRTlPPgK13NzXdIeBHBD9wpc0PiWMtkYpTscmnQ_y-7x6qK3eC2EULRbqmcXzRKJBGx__yHq-ooLWAlnS6GGgtGAru0fjMIns_OnQI9O0DVzXHoQKaHVfMBQq9koJtO2V&p=17&fvj=1&vjs=3
192,Specialist Dermatologist,Dubai,Fattan Dental & Derma Clinic,"We are looking for an experienced and passionate Dermatologist to join our healthcare team!As a Dermatologist at our clinic, you will be responsible for…",,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CN_PW9fZd2Bqzk4KKx0hvYiJK6wuGJDlkpAWqRsVrv5gu3FIpn57FN_e0mqW8Sm0jFG_C5upQ9WXyIAuTz7h0A3Oa5qDlS_3ts6A52zMj9UB0ZuVN5Kwrmcr6XijyF-TP5lvyWE5ptxX_gZtdYU4f_M6LEB0R1MpHJodSj02wmJWGStooQKEAHwXKNF4r31PM-WnqjNsa9bhHAeNv37nZZWw3wnZh6NTQvAR--_JKOSydGqeVFk65jQyotPEX0Zwxu69sdA8aZTdYQC7QAT5ciNL5k2tmodl40qFovZhGIr5ROwUVvYjWPoGcJR756Fe-eQFUnrv2ys7wEmn6LTSpg9WIJJzJ28EwBXwmHz0g3U8mk5irNR5NDD9-tzTptRaZget6MAL0bEC9gXkaKTR8odEM-aDaYLf9Fy6_I3h4dUwo3hv7bbD8t9WlTchlVJzpgQs7NO3iFmgmCfsE2lpVr&p=0&fvj=1&vjs=3
193,plastic surgeon,Dubai,al sohool orthodontic and dental center,"Are healthcare professionals who modify, improve, and reconstruct parts of the human body.They work with patients who have birth defects, as well as those…","AED10,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5FjaWC1_44fXB12ZX5lERrPBNowmPhbhmdDxnHwSPQRjU_ZvUiVCv-alcagy1JKOjCrSi42JHFsqUUh-fiB21-mcbeaHQbFsQujrRPk6q9IgttY_vWE67Ncu_jlFIktTMyXJEIPor76R98KVqiKZOEJLL1r14_BwwbNxpLwUckayI8WqB1_KimUKGTkOio3Qq2E_hGR_Q8kgAGjso4jYX8g0cfnmbeIkk6ISvH72JFGVVXfB5ZS9hjygsoPNR5kpXMsz7QWLLudur9F_Ccnmfzt9GpQ6-M2-ezPDK4bSZVKLH05NhpTT6wwx-7vWA7aI-51ew9T7FRTCjXOoAaPmWnHy7ZHx4bXDyUoFtJWqxp3GPmYUHiopo5VOHhqB84G-khUgf-DZgCUKCjLd7hizh9CyCVVqFxvg_FDG_7gxpXoR49BcUr33h&p=1&fvj=1&vjs=3
195,Technical Services Engineer - I (Powerplant),Dubai,The Emirates Group,"On top of our generous travel benefits, including discounted flights and hotel stays around the world, this managerial role also has an excellent leave and…",,https://uae.indeed.com/rc/clk?jk=d215fa44262aefb7&fccid=9ef97ff407fc27fd&vjs=3
204,General Practitioner,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1jn9TWs52YXmQf-fYYkDbRxnZ-lagDTk3jchppXgeEBW9krHbqVxiWSQitMHwZheynTDuqLDuKf98boGendI1Tqr0RCpWdlsOIKTYIZ2YfbVIXpTuXPxFZyxiGYErEbi-u3IwNP5X3OYfqIrD7VfjG9DrwMdQgsSVkxmswp9N9srd6SK-eJWEgfepJHWsf4D9xhNxb6q-fTP03T1xtYhonsFd2FPrPtjMMxjjLXBtIF2LhGZ6_4IJWasKAcb9SvUvVHm0faS3urql_E17_WnoN1Plmqx-0BteiHofOSgav85EjVVwgm8ocgB3vKKCi65Aosp4s07r-48786HO-TZDJP3spDw6vzNaAYOyN7E6IXmrGi7-1c5UYxtxp5aIMnWtKWsEisLmzvF0=&p=12&fvj=1&vjs=3
205,FEMALE Physiotherapist PT,Abu Dhabi,Private healthcare facility,"Willing to work 48 hours per week.Able to join by April or May 2021.With Driver's license or willing to take the driving license.Up to AED8,500.00 per month.","AED8,500 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVfliTICGuZN_p9ROzTwDIhmm_OaZ7Z3Ke_m-gwQ3s3y0IW14r2rOSwgj4Pf7zqWcwQGeEak9T9tlK8A9lnl9m5kMXM6atPWG_XjZQIOS1LXiZke69ENLnxzlumCmJywUA0SbW7JUUf0S-eeSn6_JmAmdTQb-0YVULrf-cM4D5oNusJmVQyK_9f8tM46ne1HX-I2ZTkwj9O3aqPWGXU8JG_P2Nswkb5VSwHPu6KKf1Bevm_aJKexMh51Gc9qHjI2Gek4iK36OkbeplIoLPQ5EQCxZWRl6mtIOcT8O8-wCGmgCZ42ZQqFQcQx0Hfr58iHstGLfvIpcvuIXYbfUJ0NW28G_Q-zZ3l3nRx3UMnUrTEXc5s0btAid_XjbD0q1tzi9bTiQahckr_yqvYx1elTa70lAzTjFzM4mWb8KcdOUswVNkHLVAHGxDHGCg1PuTQ_X1QCrAXw-Jg==&p=13&fvj=1&vjs=3
206,Registered Nurse,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1j0fP6nr8cYiyX3IGan2wZbttR0MOh3lm6AgcbYQoOjqpE9G_MfYJF92M0QMboQJ0lu9o0CPTp_RuPYmnv-fCUbWSKcSXYMrmLMiFgd94K6A4FPuYdXJQOm9IaO6SavP9O154yJRXMjQMAOa28AGFCGI30YoldikSZbtjwSY-VGwwGPpgxtk0Z_4_NfP26JmUv5oRbBoE038RAnP08d_dHp27_Sk6T0CZQ_FJP1--sfW0ZdHrZ4DXLxuCRsOYspaNN4-gWyauDsyjMBkksk1Z5Y-HiOXWfUU-Rf1KKvTsvSUx4k_4OlGR7UiVxFKUgO0PLYeRH3NjO3xfaG3zgSzZEfvOJdF2PQxUrmFW8EqrrPhK0zyzpCXwhobv0raC7Sazxhl2ijCOou3Q=&p=14&fvj=1&vjs=3
207,Senior Operations Officer (UAE Nationals Only with Family Bo...,Abu Dhabi,MDC Business Management Services,"\*Preferred - Healthcare and others (airline, hospitality), industry or sector within UAE only.Reporting to the Operations Manager, the Senior Operations…","AED30,000 - AED35,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXjjAlOCbQxIMFcoVa-id-9VsDv4se0BFeHHAzdcsaRj6vCn3qpHJvMvMgnTPb8MC3NxyjTZvS2QQoCTgnrXQI111bMH273qTwVXarTNAEyee3ng1njbbnpBEKZFMyeYgH5Vr_SlaDW8yGqEwE5fjPabbWkQ5skD0qEdPFKds5knIq2VeLGEsHZqSnEQJcTBoB6nvKb3K3BY3jVgpqXzLsn8hRxwQDL7S14KqIlLVmeS0tloaqpRiQB-nlLMZMp9lMSHVOJ0_umww59xKP0bWYtuPie9okspuqJTGS6wJLU3Er5o3vSnEM_ZtMPGZOhB4KR34IvDu_9V1DE9a9v3Gb4_OHjArX-UG555htdEw_M5CIbfcelb5ZlFSThacw_eH7cixp2pIO4qQbfihXm0RULxK1VujoDrT4Kc9sT3QRi9y_mx7UzCdrRBMUsbgLzsHeEhivItCNAtf4e_S6_DAc7fGXZ9-ack-ZdyDnYejUDzRbiygdyvE3&p=15&fvj=1&vjs=3
208,"Patient Relationship Executive at Aims Healthcare, Dubai",Dubai,Aims Healthcare LLC,"Customer centric and service oriented with minimum 2 years healthcare experience in customer care, Customer service or front office.","AED2,000 - AED4,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AYnSiOySX41EcwOmQYJl3y-tfMmK8ojmVBNkVpGKyx3VTh3CXp6iz4FBp_ZKCWaxx5qIsp5SLs0SSxkXyqiw6acmzd9-JUSmofDZwqBtpc_PK90sarR-xBWcGn3_YYbarbiQkqo-UanBH7lDVrfHgGPH1PSXYn9ZbV1OYSzBetC4rK1EZ2yWpAOCcdHnlS8DnqvptwA8FGWw2jAHGvKqmhA_SRZbV-Lr9FZ7pOUWHSc--klXokqWa2W2rcrMIcQm9x6Jx-EmzZbV8YTS91vx35ZRJev3a7W_j_7u2TLSS7Criv_VOHQz_Ny_IRLR4lvvNWupnn06gGiiM-0uTAYfgJuYKbNzZekXpne-xhg_LsPYI6388Tkx8GecavISyDEhAoIXxl7sqNTO5WkCeE-yiryCMg8jYyWLlYiOh99XTX6pBcvcZljvR2HKKnXvgBLv6VlbeLxClpaW9gTa6M6IyB09Vc4mwtXyo=&p=16&fvj=1&vjs=3
209,Western Pediatric Oncologist,Dubai,Allocation Assist Dubai,Leading a treatment team of other physicians and healthcare workers.We currently have a vacancy for a Western Pediatric Oncologist with one of our hospitals in…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-UuX9_p0ntRvRhtvtwMyGb5wnngVmu-Ci8ZfphnzOV636k66aDGlyskaX-zE5r2hOp-sxOUTHQaulvAzA9WPlTqKdoyrB3xzuq36B7yqdtdEnODbRGGua5rT30fCI2DFsLTvHn7ACwvHbraOj8PS7jtGLHXZhxmy3yC3s9hgmAjccTykUJ5WAzMn-3YRag7hLuYKxtiiG7R7K-t0Ngf-_srmhBIa3r3osk5JrfjAtEOD7e83TRlF3A4R_5E7frbaz5_nYgr_o3B9a2qp8U7eD5NUJIvnemTj9mxgPvTkvGjLBmgBCrHt-Xd1VuOQ7MUUXRKRghDSeUJQ_XSSK5iqcnzWDjYzFxfarH3dzZibWc1_Ela8zB41dzAwtkAzYDLe0CWtFnE29jXxds-9MTPUvdfSB8ts9MGOztvjSu4PDMxKXukERCEgLTJB4FotkaqHH0g7z6dujZg==&p=0&fvj=1&vjs=3
210,MALE Registered Nurse RN,Abu Dhabi,Private healthcare facility,"With DOH license/ passer, DHA licensed.Can join immediately or after one month notice period.Up to AED8,000.00 per month.","AED8,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVfliTICGuZN_p9ROzTwDIhmm_OaZ7Z3Ke_m-gwQ3s3y0IW14r2rOETV5Bs7rDQWVE066h2xm0B-XXIpJU-oih2VvoI5D5tckc-f8qHSzqM35pEGA3w1mEI8YNUnzTWJzRpjdH7Qf-9RGscLNEhwkiWwiuvOorVdP8r3-RYzedsyRiHoK-upQziNsps8_IaAzdQpaYK15GdML26kzWiXZpaF0cG8FsRaKv214O0AveRGwmW1P2066j_RhmebT3KtIT_9RkMPRtuGy_wXS6Y1z-ibPhQbhGdToJElJO3enMiicj4s-nxrPt6_FwdRWK7kp2hQT9gK67XcMrb-NI_wiYF_KUm8LyGP8X6H9t6tHlK6qyRZ5FKUBzBUYN8GjZG8AW2na6EGdPU5kVW7UqcOXzFzOPxCRD5GY60wbun3cm7FhLJnSJT2wHYx1JROMKC3UjOqmLdUbgA==&p=1&fvj=1&vjs=3
